,h1,h2,time_arduino,time_python
520,58.71,45.54,114889.0,1708084057.11341
521,58.46,45.58,114980.0,1708084057.20649
522,58.36,45.59,115072.0,1708084057.2947006
523,58.39,45.58,115164.0,1708084057.3897996
524,58.28,45.66,115255.0,1708084057.4778967
525,58.08,45.7,115346.0,1708084057.5680175
526,57.99,45.67,115437.0,1708084057.6641297
527,57.91,45.74,115528.0,1708084057.7534213
528,57.82,45.8,115620.0,1708084057.8425891
529,57.77,45.79,115712.0,1708084057.9387028
530,57.69,45.81,115803.0,1708084058.0278015
531,57.61,45.88,115894.0,1708084058.1189184
532,57.65,45.92,115986.0,1708084058.2120745
533,57.71,45.92,116077.0,1708084058.3011749
534,57.73,45.95,116168.0,1708084058.3917725
535,57.78,46.04,116259.0,1708084058.4824467
536,57.87,46.04,116350.0,1708084058.577768
537,57.88,46.04,116443.0,1708084058.667844
538,57.92,46.14,116534.0,1708084058.7569213
539,58.08,46.14,116625.0,1708084058.8510473
540,58.17,46.13,116716.0,1708084058.9431648
541,58.2,46.21,116807.0,1708084059.0312219
542,58.26,46.24,116899.0,1708084059.1253638
543,58.31,46.25,116990.0,1708084059.2155366
544,58.39,46.29,117082.0,1708084059.3066568
545,58.54,46.37,117173.0,1708084059.39651
546,58.69,46.39,117264.0,1708084059.4890323
547,58.62,46.33,117356.0,1708084059.581076
548,58.35,46.44,117447.0,1708084059.6751904
549,58.22,46.48,117538.0,1708084059.7638125
550,58.24,46.48,117629.0,1708084059.855467
551,58.14,46.51,117721.0,1708084059.9446516
552,57.98,46.55,117813.0,1708084060.0389016
553,57.82,46.61,117904.0,1708084060.1285334
554,57.78,46.56,117995.0,1708084060.2190464
555,57.72,46.61,118086.0,1708084060.3132741
556,57.59,46.72,118178.0,1708084060.4032536
557,57.53,46.68,118269.0,1708084060.4930742
558,57.47,46.75,118361.0,1708084060.5835252
559,57.44,46.83,118452.0,1708084060.6777592
560,57.56,46.84,118543.0,1708084060.7668946
561,57.63,46.81,118635.0,1708084060.8593445
562,57.61,46.87,118726.0,1708084060.9519305
563,57.55,46.96,118817.0,1708084061.0422664
564,57.62,46.94,118908.0,1708084061.1313407
565,57.72,46.98,119000.0,1708084061.2276585
566,57.73,47.05,119092.0,1708084061.3165894
567,57.86,47.06,119183.0,1708084061.4079108
568,57.99,47.07,119274.0,1708084061.502941
569,58.01,47.1,119365.0,1708084061.5901327
570,58.03,47.18,119456.0,1708084061.6811416
571,58.12,47.2,119548.0,1708084061.7722726
572,58.27,47.19,119640.0,1708084061.8642805
573,58.3,47.27,119731.0,1708084061.955226
574,58.33,47.31,119822.0,1708084062.0447097
575,58.45,47.34,119913.0,1708084062.1398423
576,58.56,47.35,120005.0,1708084062.2320735
577,58.61,47.34,120096.0,1708084062.3194103
578,58.48,47.41,120187.0,1708084062.4143739
579,58.29,47.42,120279.0,1708084062.503495
580,58.13,47.48,120371.0,1708084062.5954854
581,58.1,47.51,120462.0,1708084062.6877434
582,57.89,47.52,120553.0,1708084062.7778687
583,57.72,47.58,120644.0,1708084062.8700125
584,57.74,47.57,120735.0,1708084062.9622016
585,57.67,47.6,120827.0,1708084063.053186
